week,team,NAV
4,1,9880.999
4,2,9998.232
4,3,9959.867
4,4,10260.984
4,5,10091.501
4,6,10086.524
4,7,10186.995
5,1,9772.691
5,2,9904.977
5,3,9904.884
5,4,10123.77
5,5,9876.493
5,6,9968.215
5,7,10337.489
6,1,9703.062
6,2,9961.921
6,3,9997.23
6,4,10306.441
6,5,9958.781
6,6,9963.532
6,7,10848.355
7,1,9447.56
7,2,9992.185
7,3,10207.096
7,4,10599.555
7,5,10111.22
7,6,9976.87
7,7,10733.598
8,1,9533.603
8,2,10028.75
8,3,10262.377
8,4,10698.644
8,5,10119.435
8,6,9811.49
8,7,10715.838
